"","index","value","variable","has_issue","issue_type"
"1",NA,NA,"Questionnaire/hh_access_utility/telephone",TRUE,"Potentially sensitive information. Please ensure all PII is removed"
"2",1079,"13","Questionnaire/utility_bills",TRUE,"log normal distribution outlier"
"3",1184,"10","Questionnaire/utility_bills",TRUE,"log normal distribution outlier"
"4",924,"80","Questionnaire/utility_heating",TRUE,"log normal distribution outlier"
"5",979,"80","Questionnaire/utility_heating",TRUE,"log normal distribution outlier"
"6",1006,"50","Questionnaire/utility_heating",TRUE,"log normal distribution outlier"
"7",1079,"80","Questionnaire/utility_heating",TRUE,"log normal distribution outlier"
"8",1080,"80","Questionnaire/utility_heating",TRUE,"log normal distribution outlier"
"9",1082,"80","Questionnaire/utility_heating",TRUE,"log normal distribution outlier"
"10",1157,"80","Questionnaire/utility_heating",TRUE,"log normal distribution outlier"
"11",1158,"80","Questionnaire/utility_heating",TRUE,"log normal distribution outlier"
"12",635,"5e+05","Questionnaire/hh_debt_sum",TRUE,"normal distribution outlier"
"13",732,"1375000","Questionnaire/hh_debt_sum",TRUE,"normal distribution outlier"
"14",1462,"1400000","Questionnaire/hh_debt_sum",TRUE,"normal distribution outlier"
"15",NA,"3000 UAH was given for coal /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"16",NA,"agrofibre /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"17",NA,"Briquettes for heating, greenhouses, electric sheets /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"18",NA,"didn`t ask for /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"19",NA,"Distribution of water by ADRA in the village council, social bus 1 time a week to Mariupol /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"20",NA,"do not know what programs  are in organizations. /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"21",NA,"Doctors without borders. Come once a week. There is a distribution of medicines /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"22",NA,"Financially - the Red Cross monthly /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"23",NA,"food /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"24",NA,"Fuel /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"25",NA,"Fuel, building materials /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"26",NA,"Greenhouse, seeds, building materials, chickens /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"27",NA,"Household chemicals /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"28",NA,"Legal services /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"29",NA,"Medical organizations Doctors without borders /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"30",NA,"Medicines /// instances: 2","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"31",NA,"money for grain /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"32",NA,"Potbelly stove, detergents /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"33",NA,"Psychological help /// instances: 4","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"34",NA,"Psychological studies /// instances: 2","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"35",NA,"Red. Cross in 2018 - issuance of money for the purchase of poultry 2500 UAH. /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"36",NA,"Volunteers /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"37",NA,"water brought by ADRA /// instances: 1","Questionnaire/hh_access_cc_services_other",TRUE,"'other' response. may need recoding."
"38",NA,"bad quality of roads /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"39",NA,"Bad roads /// instances: 2","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"40",NA,"bad weather conditions /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"41",NA,"Bad weather, ice-crusted ground /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"42",NA,"can`t get there because of health problems /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"43",NA,"can`t move /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"44",NA,"children help /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"45",NA,"Cost of roads /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"46",NA,"Difficult to get to because of the weather /// instances: 2","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"47",NA,"Difficulty moving in a wheelchair /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"48",NA,"disease /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"49",NA,"Do not leave for health reasons /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"50",NA,"doesn`t go anywhere /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"51",NA,"doesn`t have enough money /// instances: 5","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"52",NA,"doesn`t move, neighbour brings everything needed /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"53",NA,"high prices /// instances: 9","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"54",NA,"ice-crusted ground /// instances: 3","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"55",NA,"Ìíîãî âîåííîé òåõíèêè /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"56",NA,"Lack of money /// instances: 6","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"57",NA,"need peace /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"58",NA,"need private transport because of health  /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"59",NA,"Need to hire a car /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"60",NA,"neighbour brings everything needed /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"61",NA,"no enough money /// instances: 4","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"62",NA,"no money /// instances: 8","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"63",NA,"No opportunity according to financal and health aspects /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"64",NA,"No road /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"65",NA,"No transport /// instances: 3","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"66",NA,"not enough money /// instances: 5","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"67",NA,"reletives bring everything needed /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"68",NA,"Restricted to move /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"69",NA,"roads /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"70",NA,"stray dogs /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"71",NA,"Walk 3 km to the next village /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"72",NA,"woman /// instances: 2","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"73",NA,"woman can`t move /// instances: 1","Questionnaire/hh_access_market_nfi_other",TRUE,"'other' response. may need recoding."
"74",NA,"A woman helps her neighbors in various ways (barter): gardening and household work, they give her food /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"75",NA,"bad quality of the road /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"76",NA,"Bad roads /// instances: 3","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"77",NA,"Bad weather, ice-crusted ground /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"78",NA,"can`t get there because of health problems /// instances: 2","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"79",NA,"can`t move /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"80",NA,"childre come /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"81",NA,"Difficult to get to because of the weather /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"82",NA,"disabled people /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"83",NA,"disease /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"84",NA,"Does not go outside the yard, suffered a stroke, relatives bring products /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"85",NA,"Does not move in connection with a stroke, the products brings a neighbor. /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"86",NA,"doesn`t have enough money /// instances: 5","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"87",NA,"health /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"88",NA,"high prices /// instances: 20","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"89",NA,"high prices, too far away to go on foot /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"90",NA,"high prices,too far to go on foot  /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"91",NA,"Household members can`t move, all purchases are made by the son of the head of the household /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"92",NA,"ice-crusted ground /// instances: 3","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"93",NA,"In winter, difficult to reach due to weather conditions. /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"94",NA,"Lack of money /// instances: 6","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"95",NA,"Military`s dogs are constantly near the store /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"96",NA,"need peace /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"97",NA,"need private transport because of health  /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"98",NA,"Need to hire a car /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"99",NA,"neighbour brings products /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
"100",NA,"No documents to move through the check points /// instances: 1","Questionnaire/hh_access_market_other",TRUE,"'other' response. may need recoding."
