"","index","value","variable","has_issue","issue_type"
"1",1,20,"hh_age",TRUE,"log normal distribution outlier"
"2",2,20,"hh_age",TRUE,"log normal distribution outlier"
"3",3,20,"hh_age",TRUE,"log normal distribution outlier"
"4",4,20,"hh_age",TRUE,"log normal distribution outlier"
"5",3195,99,"hh_age",TRUE,"log normal distribution outlier"
"6",3602,20,"hh_age",TRUE,"log normal distribution outlier"
"7",3713,17,"hh_age",TRUE,"log normal distribution outlier"
"8",28,13,"total_hh",TRUE,"normal distribution outlier"
"9",146,12,"total_hh",TRUE,"normal distribution outlier"
"10",147,14,"total_hh",TRUE,"normal distribution outlier"
"11",595,12,"total_hh",TRUE,"normal distribution outlier"
"12",747,12,"total_hh",TRUE,"normal distribution outlier"
"13",804,16,"total_hh",TRUE,"normal distribution outlier"
"14",839,16,"total_hh",TRUE,"normal distribution outlier"
"15",871,13,"total_hh",TRUE,"normal distribution outlier"
"16",872,13,"total_hh",TRUE,"normal distribution outlier"
"17",1011,13,"total_hh",TRUE,"normal distribution outlier"
"18",1116,12,"total_hh",TRUE,"normal distribution outlier"
"19",1224,12,"total_hh",TRUE,"normal distribution outlier"
"20",1415,13,"total_hh",TRUE,"normal distribution outlier"
"21",1440,15,"total_hh",TRUE,"normal distribution outlier"
"22",1593,12,"total_hh",TRUE,"normal distribution outlier"
"23",1599,12,"total_hh",TRUE,"normal distribution outlier"
"24",1667,14,"total_hh",TRUE,"normal distribution outlier"
"25",1694,12,"total_hh",TRUE,"normal distribution outlier"
"26",1793,12,"total_hh",TRUE,"normal distribution outlier"
"27",1918,14,"total_hh",TRUE,"normal distribution outlier"
"28",2119,12,"total_hh",TRUE,"normal distribution outlier"
"29",2147,26,"total_hh",TRUE,"normal distribution outlier"
"30",2163,12,"total_hh",TRUE,"normal distribution outlier"
"31",2323,12,"total_hh",TRUE,"normal distribution outlier"
"32",2324,14,"total_hh",TRUE,"normal distribution outlier"
"33",2339,12,"total_hh",TRUE,"normal distribution outlier"
"34",2460,17,"total_hh",TRUE,"normal distribution outlier"
"35",2630,12,"total_hh",TRUE,"normal distribution outlier"
"36",2651,18,"total_hh",TRUE,"normal distribution outlier"
"37",2689,13,"total_hh",TRUE,"normal distribution outlier"
"38",2742,12,"total_hh",TRUE,"normal distribution outlier"
"39",2745,14,"total_hh",TRUE,"normal distribution outlier"
"40",2805,15,"total_hh",TRUE,"normal distribution outlier"
"41",2857,13,"total_hh",TRUE,"normal distribution outlier"
"42",3130,13,"total_hh",TRUE,"normal distribution outlier"
"43",3213,29,"total_hh",TRUE,"normal distribution outlier"
"44",3300,14,"total_hh",TRUE,"normal distribution outlier"
"45",3317,12,"total_hh",TRUE,"normal distribution outlier"
"46",3361,12,"total_hh",TRUE,"normal distribution outlier"
"47",3385,17,"total_hh",TRUE,"normal distribution outlier"
"48",3469,25,"total_hh",TRUE,"normal distribution outlier"
"49",3527,12,"total_hh",TRUE,"normal distribution outlier"
"50",3528,17,"total_hh",TRUE,"normal distribution outlier"
"51",3612,12,"total_hh",TRUE,"normal distribution outlier"
"52",3656,18,"total_hh",TRUE,"normal distribution outlier"
"53",3754,13,"total_hh",TRUE,"normal distribution outlier"
"54",3774,15,"total_hh",TRUE,"normal distribution outlier"
"55",3886,13,"total_hh",TRUE,"normal distribution outlier"
"56",3938,13,"total_hh",TRUE,"normal distribution outlier"
"57",3939,12,"total_hh",TRUE,"normal distribution outlier"
"58",4126,15,"total_hh",TRUE,"normal distribution outlier"
"59",4140,48,"total_hh",TRUE,"normal distribution outlier"
"60",4155,18,"total_hh",TRUE,"normal distribution outlier"
"61",28,13,"total_hh_members",TRUE,"normal distribution outlier"
"62",146,12,"total_hh_members",TRUE,"normal distribution outlier"
"63",147,14,"total_hh_members",TRUE,"normal distribution outlier"
"64",595,12,"total_hh_members",TRUE,"normal distribution outlier"
"65",747,12,"total_hh_members",TRUE,"normal distribution outlier"
"66",804,16,"total_hh_members",TRUE,"normal distribution outlier"
"67",839,16,"total_hh_members",TRUE,"normal distribution outlier"
"68",871,13,"total_hh_members",TRUE,"normal distribution outlier"
"69",872,13,"total_hh_members",TRUE,"normal distribution outlier"
"70",1011,13,"total_hh_members",TRUE,"normal distribution outlier"
"71",1116,12,"total_hh_members",TRUE,"normal distribution outlier"
"72",1224,12,"total_hh_members",TRUE,"normal distribution outlier"
"73",1415,13,"total_hh_members",TRUE,"normal distribution outlier"
"74",1440,15,"total_hh_members",TRUE,"normal distribution outlier"
"75",1593,12,"total_hh_members",TRUE,"normal distribution outlier"
"76",1599,12,"total_hh_members",TRUE,"normal distribution outlier"
"77",1667,14,"total_hh_members",TRUE,"normal distribution outlier"
"78",1694,12,"total_hh_members",TRUE,"normal distribution outlier"
"79",1793,12,"total_hh_members",TRUE,"normal distribution outlier"
"80",1918,14,"total_hh_members",TRUE,"normal distribution outlier"
"81",2119,12,"total_hh_members",TRUE,"normal distribution outlier"
"82",2147,26,"total_hh_members",TRUE,"normal distribution outlier"
"83",2163,12,"total_hh_members",TRUE,"normal distribution outlier"
"84",2323,12,"total_hh_members",TRUE,"normal distribution outlier"
"85",2324,14,"total_hh_members",TRUE,"normal distribution outlier"
"86",2339,12,"total_hh_members",TRUE,"normal distribution outlier"
"87",2460,17,"total_hh_members",TRUE,"normal distribution outlier"
"88",2630,12,"total_hh_members",TRUE,"normal distribution outlier"
"89",2651,18,"total_hh_members",TRUE,"normal distribution outlier"
"90",2689,13,"total_hh_members",TRUE,"normal distribution outlier"
"91",2742,12,"total_hh_members",TRUE,"normal distribution outlier"
"92",2745,14,"total_hh_members",TRUE,"normal distribution outlier"
"93",2805,15,"total_hh_members",TRUE,"normal distribution outlier"
"94",2857,13,"total_hh_members",TRUE,"normal distribution outlier"
"95",3130,13,"total_hh_members",TRUE,"normal distribution outlier"
"96",3213,29,"total_hh_members",TRUE,"normal distribution outlier"
"97",3300,14,"total_hh_members",TRUE,"normal distribution outlier"
"98",3317,12,"total_hh_members",TRUE,"normal distribution outlier"
"99",3361,12,"total_hh_members",TRUE,"normal distribution outlier"
"100",3385,17,"total_hh_members",TRUE,"normal distribution outlier"
"101",3469,25,"total_hh_members",TRUE,"normal distribution outlier"
"102",3527,12,"total_hh_members",TRUE,"normal distribution outlier"
"103",3528,17,"total_hh_members",TRUE,"normal distribution outlier"
"104",3612,12,"total_hh_members",TRUE,"normal distribution outlier"
"105",3656,18,"total_hh_members",TRUE,"normal distribution outlier"
"106",3754,13,"total_hh_members",TRUE,"normal distribution outlier"
"107",3774,15,"total_hh_members",TRUE,"normal distribution outlier"
"108",3886,13,"total_hh_members",TRUE,"normal distribution outlier"
"109",3938,13,"total_hh_members",TRUE,"normal distribution outlier"
"110",3939,12,"total_hh_members",TRUE,"normal distribution outlier"
"111",4126,15,"total_hh_members",TRUE,"normal distribution outlier"
"112",4140,48,"total_hh_members",TRUE,"normal distribution outlier"
"113",4155,18,"total_hh_members",TRUE,"normal distribution outlier"
"114",147,9,"total_adults",TRUE,"log normal distribution outlier"
"115",804,10,"total_adults",TRUE,"log normal distribution outlier"
"116",871,9,"total_adults",TRUE,"log normal distribution outlier"
"117",872,9,"total_adults",TRUE,"log normal distribution outlier"
"118",1011,9,"total_adults",TRUE,"log normal distribution outlier"
"119",1440,9,"total_adults",TRUE,"log normal distribution outlier"
"120",2147,10,"total_adults",TRUE,"log normal distribution outlier"
"121",2163,9,"total_adults",TRUE,"log normal distribution outlier"
"122",2590,9,"total_adults",TRUE,"log normal distribution outlier"
"123",2651,11,"total_adults",TRUE,"log normal distribution outlier"
"124",2689,11,"total_adults",TRUE,"log normal distribution outlier"
"125",3317,9,"total_adults",TRUE,"log normal distribution outlier"
"126",3385,10,"total_adults",TRUE,"log normal distribution outlier"
